sample_id,dx_mm,dy_mm,Lj_nH,Cj_fF,tee_finger_length_um,tee_finger_count,tee_cap_gap_um,ro_L_mm,fq_GHz,fr_GHz,Delta_GHz,g_over_2pi_MHz,chi_MHz,kappa_over_2pi_MHz,chi_over_kappa,Cin_fF,Ceff_fF,kappa_i_over_kappa_e,hit_chi_ge_2MHz,T1_qubit_est_us,T2_qubit_est_us,T1_qubit_dielectric_us,T1_qubit_purcell_us,status,error,warnings
chip_simple_dx7p273_dy9p091__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,9.091,12.0,2.0,160,12,1.2,8.5,4.77325080353,6.03297215026,-1.2597213467300001,215.22790751327605,5.541249745204925,5.779259447895125,0.9588165741932755,51.81613,76.91567423166471,5.1592545246843775,True,0.9196379572992982,1.8392759145985964,36.49882601033118,0.9434084259014776,completed,,"Qi recalculated from inferred p=0.00223: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx7p273_dy10p000__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,7.273,10.0,12.0,2.0,160,12,1.2,8.5,4.70805055796,6.13632743544,-1.42827687748,253.14031044935942,5.907291461717605,5.903929399723399,1.0005694617544654,51.8152,76.91602701168578,4.9797233154712535,True,0.8386819982602308,1.6773639965204616,36.903366987302405,0.8581854957791886,completed,,"Qi recalculated from inferred p=0.00223: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx8p182_dym10p000__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,-10.0,12.0,2.0,160,12,1.2,8.5,4.73563005446,6.15362550307,-1.4179954486100002,237.17555095106601,5.325074096298217,5.915441773143484,0.9001988863239974,51.88197,76.92611857976225,4.925717569982403,True,0.9372676772652562,1.8745353545305123,36.882210164506034,0.9617070180475661,completed,,"Qi recalculated from inferred p=0.00222: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx8p182_dym9p091__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,-9.091,12.0,2.0,160,12,1.2,8.5,4.69794764375,5.92675568612,-1.2288080423699999,226.62987552066602,6.2352093673686975,5.613791258445734,1.1106949083630537,52.03948,76.95167794479867,5.2563229187896,True,0.8150574567458275,1.630114913491655,36.86591974565509,0.8334847179989195,completed,,"Qi recalculated from inferred p=0.00221: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.26e+03"
chip_simple_dx8p182_dym8p182__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,-8.182,12.0,2.0,160,12,1.2,8.5,4.81055394873,6.12847147153,-1.3179175228000002,214.07746716863534,5.122406896465301,5.920639094996056,0.8651780347149691,51.9101,76.93361203589531,4.99774806916365,True,0.9908134684069623,1.9816269368139245,36.077170087149945,1.0187933279245562,completed,,"Qi recalculated from inferred p=0.00224: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx8p182_dym7p273__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,-7.273,12.0,2.0,160,12,1.2,8.5,4.75453402814,6.05826619394,-1.3037321657999996,227.26530590646345,5.752804228256226,5.792570418204838,0.9931349665040522,52.02518,76.9469661926589,5.047542816555577,True,0.882323135121972,1.764646270243944,36.48526349616675,0.9041891413247423,completed,,"Qi recalculated from inferred p=0.00222: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx8p182_dym6p364__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,-6.364,12.0,2.0,160,12,1.2,8.5,4.74033005446,6.12730674018,-1.3869766857199997,242.2763131992824,5.791866146835327,5.8749576619762465,0.985856661456694,51.59273,76.88281795956394,5.028353693951512,True,0.8667721298573464,1.7335442597146928,36.53748574341846,0.8878340557060017,completed,,"Qi recalculated from inferred p=0.00222: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx8p182_dym5p455__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,-5.455,12.0,2.0,160,12,1.2,8.5,4.73816341164,6.10905258679,-1.3708891751499994,230.39956908460078,5.354065241529464,5.852343747262508,0.9148582982730434,52.00975,76.9462926776164,4.962365186861788,True,0.938112510787465,1.87622502157493,36.60004469299253,0.9627902281472412,completed,,"Qi recalculated from inferred p=0.00221: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx8p182_dym4p545__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,-4.545,12.0,2.0,160,12,1.2,8.5,4.71494974134,6.02611343627,-1.3111636949300003,229.83680963166307,5.731930271121978,5.802565180291682,0.9878269511888271,52.03894,76.9489826805298,5.152209340308612,True,0.8714941367602275,1.742988273520455,36.79429147723736,0.8926367561172022,completed,,"Qi recalculated from inferred p=0.00224: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx8p182_dym3p636__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,-3.636,12.0,2.0,160,12,1.2,8.5,4.72575545687,6.04494433563,-1.3191888787600003,234.94339438169402,5.9379728162078855,5.777304605739439,1.0278102370279787,51.8578,76.92210282291153,5.110827712019032,True,0.8483929808273384,1.6967859616546768,36.600830662190745,0.8685250528368587,completed,,"Qi recalculated from inferred p=0.00222: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx8p182_dym2p727__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,-2.727,12.0,2.0,160,12,1.2,8.5,4.70366645226,6.23032952005,-1.5266630677899995,258.6716946384921,5.441795454484939,6.064923365323344,0.8972570841700679,52.06697,76.95476504225924,4.8122933487129735,True,0.891931273221678,1.783862546443356,36.81285184457982,0.9140782946091303,completed,,"Qi recalculated from inferred p=0.00224: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
