method,query_idx,query_sample_id,query_fq_GHz,query_fr_GHz,query_chi_MHz,query_g_MHz,query_kappa_MHz,rank,retrieved_sample_id,retrieved_fq_GHz,retrieved_fr_GHz,retrieved_chi_MHz,retrieved_g_MHz,retrieved_kappa_MHz,distance_or_cost,error_fq,error_fr,error_chi,error_g,error_kappa
NearestNeighbors,3,fig5_cg4p0um_rpg1p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.63955293545,6.42466191485,4.9842324073925015,290.9207745568615,6.2754882085959895,1,fig5_cg5p0um_rpg1p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.67009412056,6.40368347107,5.386180753400803,292.5653068578806,6.313414733179575,0.49512136558645625,0.030541185109999702,0.0209784437799998,0.4019483460083011,1.644532301019126,0.03792652458358514
NearestNeighbors,3,fig5_cg4p0um_rpg1p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.63955293545,6.42466191485,4.9842324073925015,290.9207745568615,6.2754882085959895,2,fig5_cg3p5um_rpg1p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.65151549232,6.42206990109,5.782993409578324,310.4906595751157,6.336782825594393,0.8578961543859632,0.011962556869999474,0.00259201375999929,0.7987610021858229,19.56988501825424,0.06129461699840366
NearestNeighbors,3,fig5_cg4p0um_rpg1p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.63955293545,6.42466191485,4.9842324073925015,290.9207745568615,6.2754882085959895,3,fig5_cg4p5um_rpg1p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.66547453942,6.44365646453,5.568490972890854,305.09213979648246,6.526420054379522,1.33420941115562,0.02592160396999965,0.01899454968000036,0.5842585654983523,14.171365239620968,0.25093184578353256
NearestNeighbors,3,fig5_cg4p0um_rpg1p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.63955293545,6.42466191485,4.9842324073925015,290.9207745568615,6.2754882085959895,4,fig5_cg3p5um_rpg1p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.70486631048,6.33112792154,5.111963850152969,266.195772124899,6.191175501007713,1.3373665619787873,0.06531337502999968,0.09353399330999945,0.12773144276046722,24.72500243196248,0.08431270758827658
NearestNeighbors,3,fig5_cg4p0um_rpg1p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.63955293545,6.42466191485,4.9842324073925015,290.9207745568615,6.2754882085959895,5,fig5_cg2p0um_rpg1p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.67537317002,6.28144982257,6.80016774546051,305.861011614189,6.2286045622900525,1.476643442925687,0.035820234570000054,0.14321209227999976,1.8159353380680088,14.940237057327522,0.046883646305937
NearestNeighbors,3,fig5_cg4p0um_rpg1p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.63955293545,6.42466191485,4.9842324073925015,290.9207745568615,6.2754882085959895,6,chip_simple_dx2p727_dy10p000__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,4.65896495843,6.23455703196,5.910671091032028,280.3326352659665,6.066617974357407,1.5810649793836973,0.01941202298000011,0.19010488289000005,0.9264386836395264,10.588139290895015,0.20887023423858242
NearestNeighbors,3,fig5_cg4p0um_rpg1p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.63955293545,6.42466191485,4.9842324073925015,290.9207745568615,6.2754882085959895,7,fig5_cg3p0um_rpg1p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.5918495592,6.3683346429,6.310808488025665,329.7787087605889,6.339102179225892,1.674151460008458,0.04770337625000032,0.05632727194999987,1.3265760806331635,38.85793420372744,0.06361397062990282
NearestNeighbors,3,fig5_cg4p0um_rpg1p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.63955293545,6.42466191485,4.9842324073925015,290.9207745568615,6.2754882085959895,8,chip_simple_dx6p364_dym1p818__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,4.67874935795,6.23246664146,5.579638315944671,267.7222829571044,6.063037930970048,1.7493935861640149,0.03919642249999988,0.19219527338999942,0.5954059085521699,23.198491599757062,0.21245027762594137
NearestNeighbors,3,fig5_cg4p0um_rpg1p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.63955293545,6.42466191485,4.9842324073925015,290.9207745568615,6.2754882085959895,9,chip_simple_dx10p000_dy4p545__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,4.69438852903,6.23711654308,5.793405339859008,270.04668404490945,6.066853802259337,1.7840376002505172,0.05483559358000001,0.18754537176999975,0.8091729324665069,20.874090511952033,0.2086344063366523
NearestNeighbors,3,fig5_cg4p0um_rpg1p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.63955293545,6.42466191485,4.9842324073925015,290.9207745568615,6.2754882085959895,10,chip_simple_dx0p000_dy6p364__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,4.68684275544,6.22626285193,5.869558168603897,271.87390077175473,6.055488773398548,1.8035306543111136,0.04728981998999959,0.1983990629200001,0.8853257612113952,19.046873785106754,0.21999943519744125
